facility_name,website,pricing_found,pricing_page_url,phone_found,email_found,status
EHA Grandview Eldercare - 甲洞温馨疗养别墅 #1 Nursing Home KL (Kepong | Desa Parkcity | Jalan Ipoh ),https://ehaeldercare.com.my/,"RM 1,500 / Month | RM 1,500 | RM 1,300 | RM 2,300 / Month | RM 3,200 / Month | RM 1,300 / Month",,+6019-728 3697,ask.ehagroup@gmail.com,ok
Gentle Hearts Care Centre 温心疗养与护理中心,https://www.gentlehearts.my/,"rm,",,+606 - 379 6559,info@gentlehearts.my,ok
Cozzi Confinement Center | Yong Peng 娘家精致月子中心,https://cozziconfinement.com.my/,,,02301017662,,ok
Haywood Senior Living Medini Johor Bahru,https://haywoodliving.co/,"rm,",https://haywoodliving.co/about-us/,026-2027,,ok
GOLDEN AGE CARE CENTRE TANGKAK,https://gacc.com.my/,"rm,",,06-9527711,goldenagecc@gmail.com,ok
Summer Eldercare Johor Bahru,https://summereldercare.my.canva.site/,,,,,ok
Master Nursing Care Centre @Daya,https://www.facebook.com/carecentrejbmsia/,,,,,HTTP 400
"Hibiscus Serenity Care Centre || 疗养院 Nursing Home in Larkin, Johor Bahru (JB)",https://www.hibiscus-care.com/,00 per month | RM 20,https://www.hibiscus-care.com/our-services,,,ok
Sunrise Care Centre Sdn Bhd,https://www.rebinasunrise.com/,,,012 - 708 9777,care@rebinasunrise.com,ok
AX Nursing Home PLT,https://web.facebook.com/axnursinghome,,,,,HTTP 400
Pusat Perjagaan Orang Tua Ren Ai 仁愛安老院,https://www.facebook.com/RenAiSenai/,,,,,HTTP 400
Fu Ka Care Center,https://web.facebook.com/fukacarecenter,,,,,HTTP 400
Pusat Jagaan Orang Tua Yeo JB,https://www.facebook.com/gracehome.yeo,,,,,HTTP 400
Pusat Jagaan Warga Emas Nur Ehsan,https://m.facebook.com/pages/category/Public-Service/Pusat-Jagaan-Warga-Emas-Nur-Ehsan-1051759248276730/,,,,,HTTP 400
Green Acres Home Care Centre- Managed By Green Acres Residence Care (Group) Sdn. Bhd.,https://www.greenacreshome.com/,,,,,ok
Ummi Naura Care Centre,http://umminauracarecentre.wordpress.com/,,,013-9796861,,ok
麻坡养心院,https://www.facebook.com/share/13nx3m6WB9/%3Fmibextid%3DLQQJ4d,,,,,HTTP 404
Elders Home Care Centre,http://www.eldershome.com.my/,,,,,ok
Cozzi Confinement Center | Muar 娘家精致月子中心,https://cozziconfinement.com.my/,,,02301017662,,ok
Gold Care Nursing Home Centre,http://goldcarenursinghome.com/,RM60,,,,ok
BIGTREE Medicare & Nursing Home,https://www.bigtree.care/,,,+6012 685 5103,info@bigtree.care,ok
Mintygreen Premium Nursing & Rehabilitation (Relau),https://www.mintygreen-wellness.com/,RM 40 | RM 220,https://www.mintygreen-wellness.com/services,0384081978,hr@mintygreen-wellness.com,ok
Healthlife Old Folks Home,http://www.aixinliauyang.yolasite.com/https://www.facebook.com/AiXinLiaoYangZhongXin,,,,,HTTP 404
Golden Age Care Centre Batu Pahat,https://www.gacc.com.my/index,"rm,",,06-9527711,goldenagecc@gmail.com,ok
Pusat Jagaan Wargatua Parit Bilal,https://www.facebook.com/profile.php%3Fid%3D100063647223251,,,,,HTTP 400
Cozzi Confinement Center | Sri Jaya 娘家精致月子中心,https://cozziconfinement.com.my/,,,02301017662,,ok
Cozzi Confinement Center | Tanah Merah 娘家精致月子中心,https://cozziconfinement.com.my/,,,02301017662,,ok
Pearl Care Centre Group Sdn Bhd Nursing Home Penang,https://pearlcarecentre.com/,,,0165559067,gunasegaran@pearlcarecentre.com,ok
My Aged Care Nursing Home in PJ Old Town,http://www.myagedcare.com.my/,"rm,",,+6017-851 7500,,ok
Pusat Jagaan Impian Syimah (Jalan Kemaman),https://www.facebook.com/PusatJagaanImpianSyimah,,,,,HTTP 400
Pusat Jagaan Impian Syimah (Jalan Kemuncak),https://www.facebook.com/PusatJagaanImpianSyimah,,,,,HTTP 400
安心养老院 Elderia Care Center,https://elderiacare.wixsite.com/elderia-care-center,,,011-2803 0620,Elderiacare@gmail.com,ok
Elim Nursing Home Batu Pahat 疗养院,https://www.facebook.com/elimnursinghomebp,,,,,HTTP 400
涵·疗养院 Hang Nursing Home (Gelang Patah Branch),https://m.facebook.com/pusatjagaanhang/,,,,,HTTP 400
Green Garden Care Center Sdn Bhd,http://www.greengarden.com.my/,,,07-686 9800,sales@greengarden.com.my,ok
Amitabha Foundation (Amitabha Malaysia),https://en.amitabhamalaysia.org/,,,607-213 2448,,ok
KNK HOMECARE LAGENDA HEIGHTS,http://www.atri.com.my/,,,02101034424,atrimedicalmanagement@gmail.com,ok
ReU Living (Post Surgery and Recovery Care Centre),http://reuliving.com/,,,+6010 3800 938,info@reuliving.com,ok
"Rumah Orang Tua, Mahligai Kasih Juju(MKJ) - Bukit Baru, Melaka (Rumah Orang Tua Melaka)",https://www.mahligaikasihjuju.com/,,,012-237 0093,mahligaikasihjuju@gmail.com,ok
MultiCare Nursing Home,https://www.multicarehomes.com/,RM 2500 | RM 3000 | RM 2000 | RM 2800 | RM 1800 | RM 2300,https://www.multicarehomes.com/packages.html,+6012 650 1805,info@multicarehomes.com,ok
KNK HOMECARE TAMAN PETANI JAYA,http://www.atri.com.my/,,,02101034424,atrimedicalmanagement@gmail.com,ok
Attia Nursing Care Centre PJ,http://www.attianursingcare.com/,,,,,ok
Yang Xin Nursing Home (养心托管安老院),https://www.facebook.com/profile.php%3Fid%3D100084633097437%26locale%3Dzh_CN,,,,,HTTP 400
JETA CARE SDN. BHD,http://www.jetacare.com/,"rm,",,+60187695688,enquiry@jetacare.com,ok
