facility_name,website,shared_room_price,private_room_price,all_prices_found,phone_from_web,email_from_web,scrape_status
GOLDEN AGE CARE CENTRE TANGKAK,https://gacc.com.my/,pricing_unknown,pricing_unknown,,06-9527711,goldenagecc@gmail.com,ok
Summer Eldercare Johor Bahru,https://summereldercare.my.canva.site/,pricing_unknown,pricing_unknown,,,,ok
Master Nursing Care Centre @Daya,https://www.facebook.com/carecentrejbmsia/,pricing_unknown,pricing_unknown,,,,HTTP 400
"Hibiscus Serenity Care Centre || 疗养院 Nursing Home in Larkin, Johor Bahru (JB)",https://www.hibiscus-care.com/,pricing_unknown,pricing_unknown,,,,ok
Sunrise Care Centre Sdn Bhd,https://www.rebinasunrise.com/,pricing_unknown,pricing_unknown,,012 - 708 9777,care@rebinasunrise.com,ok
AX Nursing Home PLT,https://web.facebook.com/axnursinghome,pricing_unknown,pricing_unknown,,,,HTTP 400
Pusat Perjagaan Orang Tua Ren Ai 仁愛安老院,https://www.facebook.com/RenAiSenai/,pricing_unknown,pricing_unknown,,,,HTTP 400
Fu Ka Care Center,https://web.facebook.com/fukacarecenter,pricing_unknown,pricing_unknown,,,,HTTP 400
Pusat Jagaan Orang Tua Yeo JB,https://www.facebook.com/gracehome.yeo,pricing_unknown,pricing_unknown,,,,HTTP 400
Pusat Jagaan Warga Emas Nur Ehsan,https://m.facebook.com/pages/category/Public-Service/Pusat-Jagaan-Warga-Emas-Nur-Ehsan-1051759248276730/,pricing_unknown,pricing_unknown,,,,HTTP 400
Green Acres Home Care Centre- Managed By Green Acres Residence Care (Group) Sdn. Bhd.,https://www.greenacreshome.com/,pricing_unknown,pricing_unknown,,,,ok
Ummi Naura Care Centre,http://umminauracarecentre.wordpress.com/,pricing_unknown,pricing_unknown,,013-9796861,,ok
麻坡养心院,https://www.facebook.com/share/13nx3m6WB9/%3Fmibextid%3DLQQJ4d,pricing_unknown,pricing_unknown,,,,HTTP 404
Elders Home Care Centre,http://www.eldershome.com.my/,pricing_unknown,pricing_unknown,,,,ok
Cozzi Confinement Center | Muar 娘家精致月子中心,https://cozziconfinement.com.my/,pricing_unknown,pricing_unknown,,02301017662,,ok
Gold Care Nursing Home Centre,http://goldcarenursinghome.com/,pricing_unknown,pricing_unknown,,,,ok
BIGTREE Medicare & Nursing Home,https://www.bigtree.care/,pricing_unknown,pricing_unknown,,+6012 685 5103,info@bigtree.care,ok
Mintygreen Premium Nursing & Rehabilitation (Relau),https://www.mintygreen-wellness.com/,pricing_unknown,pricing_unknown,,0384081978,hr@mintygreen-wellness.com,ok
Healthlife Old Folks Home,http://www.aixinliauyang.yolasite.com/https://www.facebook.com/AiXinLiaoYangZhongXin,pricing_unknown,pricing_unknown,,,,HTTP 404
Golden Age Care Centre Batu Pahat,https://www.gacc.com.my/index,pricing_unknown,pricing_unknown,,06-9527711,goldenagecc@gmail.com,ok
Pusat Jagaan Wargatua Parit Bilal,https://www.facebook.com/profile.php%3Fid%3D100063647223251,pricing_unknown,pricing_unknown,,,,HTTP 400
Cozzi Confinement Center | Sri Jaya 娘家精致月子中心,https://cozziconfinement.com.my/,pricing_unknown,pricing_unknown,,02301017662,,ok
Cozzi Confinement Center | Tanah Merah 娘家精致月子中心,https://cozziconfinement.com.my/,pricing_unknown,pricing_unknown,,02301017662,,ok
Pearl Care Centre Group Sdn Bhd Nursing Home Penang,https://pearlcarecentre.com/,pricing_unknown,pricing_unknown,,0165559067,gunasegaran@pearlcarecentre.com,ok
My Aged Care Nursing Home in PJ Old Town,http://www.myagedcare.com.my/,pricing_unknown,pricing_unknown,,+6017-851 7500,,ok
Pusat Jagaan Impian Syimah (Jalan Kemaman),https://www.facebook.com/PusatJagaanImpianSyimah,pricing_unknown,pricing_unknown,,,,HTTP 400
Pusat Jagaan Impian Syimah (Jalan Kemuncak),https://www.facebook.com/PusatJagaanImpianSyimah,pricing_unknown,pricing_unknown,,,,HTTP 400
安心养老院 Elderia Care Center,https://elderiacare.wixsite.com/elderia-care-center,pricing_unknown,pricing_unknown,,011-2803 0620,Elderiacare@gmail.com,ok
Elim Nursing Home Batu Pahat 疗养院,https://www.facebook.com/elimnursinghomebp,pricing_unknown,pricing_unknown,,,,HTTP 400
涵·疗养院 Hang Nursing Home (Gelang Patah Branch),https://m.facebook.com/pusatjagaanhang/,pricing_unknown,pricing_unknown,,,,HTTP 400
Green Garden Care Center Sdn Bhd,http://www.greengarden.com.my/,pricing_unknown,pricing_unknown,,07-686 9800,sales@greengarden.com.my,ok
Amitabha Foundation (Amitabha Malaysia),https://en.amitabhamalaysia.org/,pricing_unknown,pricing_unknown,,607-213 2448,,ok
KNK HOMECARE LAGENDA HEIGHTS,http://www.atri.com.my/,pricing_unknown,pricing_unknown,,02101034424,atrimedicalmanagement@gmail.com,ok
ReU Living (Post Surgery and Recovery Care Centre),http://reuliving.com/,pricing_unknown,pricing_unknown,,+6010 3800 938,info@reuliving.com,ok
"Rumah Orang Tua, Mahligai Kasih Juju(MKJ) - Bukit Baru, Melaka (Rumah Orang Tua Melaka)",https://www.mahligaikasihjuju.com/,pricing_unknown,pricing_unknown,,012-237 0093,mahligaikasihjuju@gmail.com,ok
MultiCare Nursing Home,https://www.multicarehomes.com/,"RM 1,800","RM 3,000","RM 1,800, RM 2,000, RM 2,300, RM 2,500, RM 2,800, RM 3,000",+6012 650 1805,info@multicarehomes.com,ok
KNK HOMECARE TAMAN PETANI JAYA,http://www.atri.com.my/,pricing_unknown,pricing_unknown,,02101034424,atrimedicalmanagement@gmail.com,ok
Attia Nursing Care Centre PJ,http://www.attianursingcare.com/,pricing_unknown,pricing_unknown,,,,ok
Yang Xin Nursing Home (养心托管安老院),https://www.facebook.com/profile.php%3Fid%3D100084633097437%26locale%3Dzh_CN,pricing_unknown,pricing_unknown,,,,HTTP 400
JETA CARE SDN. BHD,http://www.jetacare.com/,pricing_unknown,pricing_unknown,,+60187695688,enquiry@jetacare.com,ok
