title,state,area,phone,licence_number,licence_expiry,website,email,shared_price,private_price,pricing_display,has_gps,rating,photos,status
Pusat Jagaan Chik Sin Thong Klang Dan Pantai Selangor,Selangor,Taman Sri Andalas,03-33717822,B/PJBWT 009/2022,27.07.2022 - 26.07.2027,https://cst-oldfolkshome.com/,,,,,yes,4.1,yes,live
Pusat Jagaan Beverly Care Home,Selangor,Selangor,03-87370076,B/PJB WT 002/2020,12.02.2020 - 11.02.2025,,,,,,yes,,no,live
"Sam Ching Kong Old Folks Home, Hulu Langat",Selangor,Kampung Kenangan 18,03-90211498,B/PJBWT 013/2022,18.10.2022 - 17.10.2027,https://www.facebook.com/samchingkong/,,,,,yes,4.8,yes,live
Pusat Warga Mas Penyayang,Selangor,Taman Serdang Jaya,03-89539932,B/PJB WT 020/2021,03.12.2021 - 02.12.2026,https://www.facebook.com/pages/Kuan-Ai-Pusat-Warga-Mas-Penyayang/690891977637258?sk=timeline,,,,,yes,3.6,yes,live
Pusat Jagaan Rumah Nur Hasanah,Selangor,Kampung Sesapan Kelubi,03-87668100,B/PJBWT 014/2023,04.08.2023 - 03.08.2028,https://m.facebook.com/pages/category/Community-Organization/Pusat-Jagaan-Nur-Hasanah-185220148192533/,,,,,yes,4.5,yes,live
Stella Maris Home Plt Care Centre,Selangor,Seksyen 6,03-79606070,B/PJB WT 020/2023,21.11.2023 - 20.11.2028,,,,,,yes,4.6,no,live
My Aged Care Sdn. Bhd,Selangor,Selangor,03-79322638,B/PJB WT 023/2023,13.12.2023 - 12.12.2028,https://myagedcare.com.my/,,,,,yes,,no,live
'Love And Care' Care Centre,Perak,,+6052825067,A/PJB WT 034/2022,,,,,,,yes,,no,unverified
'My Place Convalescent Home' Care Centre,Perak,,+60125001077,A/PJB WT 054/2022,,,,,,,yes,,no,unverified
916 HOME CARE CENTRE,Kuala Lumpur,,+60122945988,W/PJB WT 001/2022,,,,,,,yes,,no,unverified
AFH CARE CENTRE,Selangor,,+60362633824,B/PJBWT 011/2022,,,,,,,yes,,no,unverified
Ailins Home Care Centre,Melaka,,+60126191892,M/PJB WT 015 / 2022,,,,,,,yes,,no,unverified
AIM HEALTH CARE CENTRE,Selangor,,+60122865039,B/PJB WT 016/2025,,,,,,,yes,,no,unverified
ALDA CARE CENTRE,Johor,,+60107128260,J/PJBWT029/2021,,,,,,,yes,,no,unverified
ALDA CARE CENTRE (CAWANGAN),Johor,,+60127212388,J/PJBWE071/2025,,,,,,,yes,,no,unverified
ALEXA VILLA SENIOR CARE CENTRE,Negeri Sembilan,,+60136319956,N/PJB WT 15/2023,,,,,,,yes,,no,unverified
ALEXA VILLA SENIOR CARE CENTRE (CAW),Negeri Sembilan,,+60186614856,N/PJB WE 40/2024,,,,,,,yes,,no,unverified
ALOHA HOME CARE CENTRE,Selangor,,+60378650805,B/PJB WT 009/2026,,,,,,,yes,,no,unverified
Alor Akar Care Centre,Pahang,,+60199868879,C/PJB WE 001/2024,,,,,,,yes,,no,unverified
ANGLICAN RETIREMENT KAMPONG CARE CENTRE,Sabah,,+6088389013,S/PJB WT/03-2025,,,,,,,yes,,no,unverified
Anson Home Care Centre,Perak,,+60125926058,A/PJB WT 032/2021,,,,,,,yes,,no,unverified
Anson Senior Care Centre,Perak,,+6056218969,A/PJB WT 025/2022,,,,,,,yes,,no,unverified
Anson Senior Care Centre,Perak,,+60172413007,A/PJB WT 026/2023,,,,,,,yes,,no,unverified
APEX HOME CARE CENTRE,Selangor,,+60124776643,B/PJB WT 004/2024,,,,,,,yes,,no,unverified
ARA WOODS SENIOR CARE CENTRE,Selangor,,+60122962082,B/PJHWT 001/2022,,,,,,,yes,,no,unverified
AURORA CARING CARE CENTRE,Selangor,,+60163383947,B/PJB WT 020/2024,,,,,,,yes,,no,unverified
AURORA HOME CARE CENTRE (3),Selangor,,+60163383947,B/PJB WT 007/2026,,,,,,,yes,,no,unverified
BELINDA ELDERLY CARE CENTRE,Selangor,,+601112302173,B/PJBWT 006/2023,,,,,,,yes,,no,unverified
Beringin Park Care Centre,Melaka,,+60122501163,M/PJB WT 005 / 2021,,,,,,,yes,,no,unverified
Beringin Park Care Centre,Melaka,,+60122501163,M/PJB WT 006 / 2021,,,,,,,yes,,no,unverified
BETHANY HOME,Sabah,,+6088241457,S/PJB WT/004-2024,,,,,,,yes,,no,unverified
BIDADARI RETREAT CARE CENTRE,Kedah,,+60124992352,K/PJB WE021/2025,,,,,,,yes,,no,unverified
BIG HEART GOLDEN CARE CENTRE,Johor,,+6073383055,J/PJB WT 004/2021,,,,,,,yes,,no,unverified
BLISSFUL HEART  CARE CENTRE,Selangor,,+60112708046,B/PJB WT 002/2025,,,,,,,yes,,no,unverified
Bougainvillea Care Centre,Perak,,+60103964289,A/PJB WT 042/2023,,,,,,,yes,,no,unverified
BSC Eldercare Centre Sdn Bhd,Penang,,+60164471979,P/PJH WT 005/2024,,,,,,,yes,,no,unverified
Care Villa Care Centre,Perak,,+60125103690,A/PJB WT 051/2022,,,,,,,yes,,no,unverified
CAREFREE CARE CENTRE,Johor,,+60122319829,J/PJBWE082/2025,,,,,,,yes,,no,unverified
Caring Heart Home Care Centre,Perak,,+60125229824,A/PJB WT 042/2024,,,,,,,yes,,no,unverified
Centenarian Care Centre,Kuala Lumpur,,+60192238338,W/PJB WT 005/2021,,,,,,,yes,,no,unverified
CHARIS HOME CARE CENTRE,Negeri Sembilan,,+60103662952,N/ PJB WT 14/2023,,,,,,,yes,,no,unverified
CHERISH CARE CENTRE,Selangor,,+60132073634,B/PJBWT 012/2022,,,,,,,yes,,no,unverified
CHRISTINAS HOME CARE CENTRE,Selangor,,+60377733750,B/PJB WT 004/2026,,,,,,,yes,,no,unverified
CITADEL CARE CENTRE,Selangor,,+60374538996,B/PJB WT 018/2021,,,,,,,yes,,no,unverified
Comfort Aged Care Centre,Sabah,,+60198811030,S/PJBWT/001-2024,,,,,,,yes,,no,unverified
COMFORT VILLE CARE CENTRE,Johor,,+60167782447,J/PJBWT067/2024,,,,,,,yes,,no,unverified
Comfortable Home Care Centre,Perak,,+60125579912,A/PJB WT 039/2024,,,,,,,yes,,no,unverified
Comfortable Home Daycare Centre,Perak,,+60125299833,A/PJB WT 010/2019,,,,,,,yes,,no,unverified
CRYSTALFONT CARE CENTRE,Johor,,+60138238099,J/PJBWT065/2024,,,,,,,yes,,no,unverified
CT NURSE CARE CENTRE,Sabah,,+6088213575,S/PJB WT/001-2021,,,,,,,yes,,no,unverified
D ALIFF CARE CENTRE,Johor,,+60167512511,J/PJBWT018/2025,,,,,,,yes,,no,unverified
D Palace Care Centre,Perak,,+60165554935,A/PJB WT 063/2021,,,,,,,yes,,no,unverified
D Palace Care Centre,Perak,,+60165554935,A/PJB WT 031/2023,,,,,,,yes,,no,unverified
De Elderly Care Centre,Perak,,+60108237933,A/PJB WE 014/2025,,,,,,,yes,,no,unverified
DE HOME CARE CENTRE,Selangor,,+60333585252,B/PJB WT 012/2025,,,,,,,yes,,no,unverified
De Home Care Centre,Perak,,+60165900291,A/PJB WT 022/2020,,,,,,,yes,,no,unverified
Dr. Thomas Care Centre,Perak,,+60125819551,A/PJB WT 045/2021,,,,,,,yes,,no,unverified
Edelweiss Elderly Care Centre,Melaka,,+60,M/PJB WE  024 / 2023,,,,,,,yes,,no,unverified
Eden on The Park Care Residence,Sarawak,,+6082505015,Q/PJB WT/008/2020,,,,,,,yes,,no,unverified
Elaine Elderly Healthcare Centre,Penang,,+60164388964,P/PJB WT 038/2021,,,,,,,yes,,no,unverified
Elaine Elderly Healthcare Centre,Penang,,+60164388964,P/PJB WT 016/2025,,,,,,,yes,,no,unverified
Elaine Elderly Healthcare Centre,Penang,,+60164388964,P/PJB WT 027/2022,,,,,,,yes,,no,unverified
ELDERLOVE CARE CENTRE,Selangor,,+60123495811,B/PJB WT 014/2025,,,,,,,yes,,no,unverified
ELDERLOVE LIVING CARE CENTRE,Selangor,,+60123495811,B/PJBWT 005/2022,,,,,,,yes,,no,unverified
Elders Home Care Centre,Melaka,,+60122908103,M/PJB WT 006 / 2019,,,,,,,yes,,no,unverified
Elders Home Plus Care Centre Sdn. Bhd.,Melaka,,+60122908103,M/PJB WT 001 / 2022,,,,,,,yes,,no,unverified
EMERALD ELDERLY CARE CENTRE,Selangor,,+60123030670,B/PJB WT 004/2025,,,,,,,yes,,no,unverified
Evergreen Care Centre,Perak,,+60165262817,A/PJB WT 047/2022,,,,,,,yes,,no,unverified
EVERGREEN SENIOR LIVING CARE CENTRE,Selangor,,+60123311121,B/PJBWT 010/2023,,,,,,,yes,,no,unverified
Everlasting Senior Care Centre,Perak,,+60195906968,A/PJB WE 012/2026,,,,,,,yes,,no,unverified
EVERSHINE ELDERLY HOME CARE CENTRE,Selangor,,+60377815433,B/PJB WT 009/2024,,,,,,,yes,,no,unverified
EXODUS SHELTER CARE CENTRE,Johor,,+60197766381,J/PJB WT 045/2021,,,,,,,yes,,no,unverified
Faith Care Centre,Perak,,+60135136755,A/PJB WT 066/2024,,,,,,,yes,,no,unverified
FAMILIES  CARE CENTRE,Selangor,,+601110973931,B/PJB WT 010/2025,,,,,,,yes,,no,unverified
FAVOURITE HOME CARE CENTRE,Selangor,,+60162080671,B/PJB WT 016/2023,,,,,,,yes,,no,unverified
GABRIEL ELDERCARE CENTRE,Johor,,+60182687757,J/PJHWE062/2025,,,,,,,yes,,no,unverified
Global Village Care Centre,Perak,,+60125236257,A/PJB WT 070/2021,,,,,,,yes,,no,unverified
GM CARE CENTRE,Johor,,+6077743788,J/PJB WT 013/2023,,,,,,,yes,,no,unverified
Golden Age Care Centre Sdn. Bhd,Johor,,+6069533355,J/PJB WT 030/2024,,,,,,,yes,,no,unverified
Golden Apple Care Centre,Perak,,+601126282313,A/PJB WT 030/2024,,,,,,,yes,,no,unverified
Golden Apple Senior Citizen Care Centre,Perak,,+60143029933,A/PJB WT 044/2022,,,,,,,yes,,no,unverified
GOLDEN CARE CENTRE,Kedah,,,K/PJB WE 016/2025,,,,,,,yes,,no,unverified
Golden Eldercare Senior Living Care Centre PLT,Perak,,+60149276960,A/PJB WE 010/2025,,,,,,,yes,,no,unverified
Golden Eldercare Senior Living Care Centre PLT,Perak,,+60149276960,A/PJH WE 009/2025,,,,,,,yes,,no,unverified
Golden Home Elderly Care Centre,Penang,,+60149451986,P/PJB WT 002/2024,,,,,,,yes,,no,unverified
Golden Living Care Centre Sdn Bhd,Penang,,+60124888868,P/PJB WT 014/2024,,,,,,,yes,,no,unverified
GOLDEN ROOTS ELDER CARE CENTRE,Selangor,,+60378656228,B/PJB WT 018/2025,,,,,,,yes,,no,unverified
GOLDEN ROOTS ELDER CARE CENTRE (2),Selangor,,+60108818806,B/PJB WT 015/2024,,,,,,,yes,,no,unverified
Good Care Centre,Perak,,+60165445229,A/PJB WE 033/2025,,,,,,,yes,,no,unverified
Grace Care Centre,Perak,,+60125063460,A/PJB WT 005/2023,,,,,,,yes,,no,unverified
GRACE OLD FOLKS HOME CARE CENTRE,Sabah,,+60128276288,S/PJBWT/001-2022,,,,,,,yes,,no,unverified
GRACE OLD FOLKS HOME CARE CENTRE,Sabah,,+60128276288,S/PJB WT/01-2022,,,,,,,yes,,no,unverified
GRACEVILLE SENIOR CARE CENTRE,Johor,,+6069524950,J/PJB WT 007/2022,,,,,,,yes,,no,unverified
Green Garden Care Centre Sdn. Bhd,Johor,,+60127314888,J/PJBWE014/2026,,,,,,,yes,,no,unverified
Green Gates Care Centre,Perak,,+6055486838,A/PJB WT 025/2021,,,,,,,yes,,no,unverified
Green Gates Elderly Care Centre,Perak,,+6055467832,A/PJB WT 026/2021,,,,,,,yes,,no,unverified
GREEN MEDICARE HOUSE CARE CENTRE,Selangor,,+60126801505,B/PJBWT 001/2023,,,,,,,yes,,no,unverified
GRG Senior Care Centre,Perak,,+6055461223,A/PJB WT 023/2024,,,,,,,yes,,no,unverified
HAPPINESS HOME CARE CENTRE PLT,Negeri Sembilan,,+60123517806,N/PJBWE022/2025,,,,,,,yes,,no,unverified
HAPPY LIFE CARE CENTRE,Negeri Sembilan,,+60166025045,N/PJB WE 11/2024,,,,,,,yes,,no,unverified
HAPPY LIFE CARE CENTRE (CAWANGAN),Negeri Sembilan,,+60138347054,N/PJB WT 04/2022,,,,,,,yes,,no,unverified
Happy Old Folk Care Centre,Kuala Lumpur,,+60163159778,W/PJB WT 019/2023,,,,,,,yes,,no,unverified
Happy Old Folks Care Centre,Perak,,+60165951750,A/PJB WT 043/2024,,,,,,,yes,,no,unverified
Happy Old Folks Care Centre,Perak,,+60165951750,A/PJB WT 021/2020,,,,,,,yes,,no,unverified
Happy Old Folks Home,Perak,,+60165951750,A/PJB WT 011/2019,,,,,,,yes,,no,unverified
Happy Retirement Home Care Centre,Penang,,,P/PJB WT 005/2025,,,,,,,yes,,no,unverified
HOLY FAMILY RESIDENCE FOR SENIOR CITIZENS,Sabah,,+60138709800,S/PJB WT/002-2022,,,,,,,yes,,no,unverified
HOUSE OF MEGAWAY CARE CENTRE (CAW),Negeri Sembilan,,+60196219723,N/PJB WE 19/2024,,,,,,,no,,no,unverified
HOUSE OF MEGAWAYS CARE CENTRE,Negeri Sembilan,,+60196219723,N/PJB WT 07/2023,,,,,,,yes,,no,unverified
HPY Old Folk Care Centre,Kuala Lumpur,,+60122262218,W/PJB WT 018/2023,,,,,,,yes,,no,unverified
HUAIDER CARE CENTRE,Selangor,,+60189602883,B/PJB WT 007/2024,,,,,,,yes,,no,unverified
I HOME CARE CENTER,Johor,,+601165165605,J/PJBWE 069/2025,,,,,,,yes,,no,unverified
Ideal Care Centre,Perak,,+60165570036,A/PJB WT 049/2022,,,,,,,yes,,no,unverified
IG Care Centre,Perak,,+60126942882,A/PJB WT 020/2020,,,,,,,yes,,no,unverified
Jawi Care Centre,Penang,,+60175802909,P/PJBWT043/2022,,,,,,,yes,,no,unverified
JJ Blessing Care Centre,Kuala Lumpur,,+601123762202,W/PJB WT 009/2024,,,,,,,yes,,no,unverified
JOYFUL HOME ELDERLY CARE CENTRE,Selangor,,+60169287123,B/PJB WT 012/2024,,,,,,,yes,,no,unverified
JOYHAVEN SENIOR CARE CENTRE,Selangor,,+60162700469,B/PJB WT 001/2026,,,,,,,yes,,no,unverified
Joyous Spring Sdn. Bhd. Care Centre,Melaka,,+60,M/PJH WE 029 / 2023,,,,,,,yes,,no,unverified
JR Pro Care Centre,Kuala Lumpur,,+60109088522,W/PJB WE 009/2025,,,,,,,yes,,no,unverified
KAI XIN HOME CARE CENTRE,Selangor,,+60166136619,B/PJB WT 017/2024,,,,,,,yes,,no,unverified
Keepers Dementia Care Centre Sdn Bhd,Penang,,+60124255695,P/PJB WT 016/2023,,,,,,,yes,,no,unverified
Keepers Medi Care Centre Sdn Bhd,Penang,,+60124255695,P/PJB WT 032/2025,,,,,,,yes,,no,unverified
Kindnest Care Centre,Kuala Lumpur,,+60174857361,W/PJB WT 015/2024,,,,,,,yes,,no,unverified
Labuan Aged Care Centre,Labuan,,+60198811030,L/PJH WE 001/2023,,,,,,,yes,,no,unverified
LECADIA PRIMA CARE CENTRE SDN BHD,Kuala Lumpur,,+60392220107,W/PJB WT 005/2022,,,,,,,yes,,no,unverified
Leisure Health Care Centre Sdn Bhd,Penang,,+60124940425,P/PJB WT 036/2023,,,,,,,yes,,no,unverified
Leisure Ville Care Centre,Perak,,+60125067404,A/PJB WT 025/2023,,,,,,,yes,,no,unverified
Light Divine Old Folks Care Centre,Perak,,+60146326983,A/PJB WT 013/2023,,,,,,,yes,,no,unverified
LITTLE SISTERS OF THE POOR,Kuala Lumpur,,+601113089955,W/PJB WT 002/2022,,,,,,,yes,,no,unverified
Little Sisters Of The Poor,Penang,,+6048283437,P/PJB WT 052/2021,,,,,,,yes,,no,unverified
LOTUS CARE CENTRE,Selangor,,+60379491881,B/PJBWT 004/2023,,,,,,,yes,,no,unverified
Lotus Geriatric Care Centre,Perak,,+60165555579,A/PJB WT 034/2023,,,,,,,yes,,no,unverified
Lotus Geriatric Care Centre,Perak,,+6056216375,A/PJB WT 068/2021,,,,,,,yes,,no,unverified
Lotus Geriatric Care Centre,Perak,,+60165555579,A/PJB WT 004/2022,,,,,,,yes,,no,unverified
Lovely Villa Care Centre,Perak,,+60125802213,A/PJB WT 060/2021,,,,,,,yes,,no,unverified
Loving Care Centre,Melaka,,+60105088191,M/PJB WT 023 / 2021,,,,,,,yes,,no,unverified
Lyna Care Centre,Melaka,,+6062810702,M/PJB WE  010 / 2024,,,,,,,yes,,no,unverified
M.Y. Comfort Home Care Centre,Kuala Lumpur,,+60123837741,W/PJB WT 004/2023,,,,,,,yes,,no,unverified
MADAM YAP CARE CENTRE,Negeri Sembilan,,+60126702466,N/PJB WT 08/2023,,,,,,,yes,,no,unverified
MADRE CARE CENTRE,Negeri Sembilan,,+60163219157,N/PJBWE002/2025,,,,,,,yes,,no,unverified
MAMA PAPA HOME CARE CENTRE,Kuala Lumpur,,+60162107049,W/PJB WT 004/2022,,,,,,,yes,,no,unverified
MAREEA CARE CENTRE,Johor,,+60106669408,J/PJB WT 025/2023,,,,,,,yes,,no,unverified
Medifa Home Care Centre,Perak,,+60172413007,A/PJB WT 026/2024,,,,,,,yes,,no,unverified
MERCY SENIOR CARE CENTRE,Negeri Sembilan,,+60126046615,N/PJB WT 12/2023,,,,,,,yes,,no,unverified
MERCY SENIOR CARE CENTRE SDN BHD,Negeri Sembilan,,+6066328828,N/PJB028/2025,,,,,,,yes,,no,unverified
MERIAN WELLBEING AGED CARE CENTRE,Selangor,,+60331234491,B/PJB WT 002/2026,,,,,,,yes,,no,unverified
Merry Care Centre,Kuala Lumpur,,+60123711318,W/PJB WT 016/2023,,,,,,,yes,,no,unverified
MOON CARE CENTRE SDN BHD (CAWANGAN KEDUA),Kedah,,+60193694461,K/PJB WE019/2025,,,,,,,yes,,no,unverified
