"address","email","fax","latitude","licence_number","longitude","maps_url","name","ownership","page","phone","scraped_at","validity_date"
"NO. 68, JALAN 21/35, SEAPARK, SEKSYEN 21, 46300 PETALING JAYA, SELANGOR    46300 PETALING JAYA Selangor","","","3.10920079","B/PJB WT 009/2026","101.6178338","http://maps.google.com/?q=3.10920079	101.6178338","ALOHA HOME CARE CENTRE","","2","03-78650805","2026-05-07T15:24:17.005Z","27.04.2026 - 26.04.2031"
"A 7394, Jln Alor Akar,   25250  Pahang","","","3.8267301389417674","C/PJB WE 001/2024","103.34151183141013","http://maps.google.com/?q=3.8267301389417674 ,103.34151183141013","Alor Akar Care Centre","","2","0199868879","2026-05-07T15:24:17.005Z","18.03.2024 - 17.03.2029"
"NO. 11, JALAN 14/55, SEKSYEN 14, 46100 PETALING JAYA, SELANGOR    46100 PETALING JAYA Selangor","","","3.0976928","B/PJB WT 009/2025","101.6263208","http://maps.google.com/?q=3.0976928	101.6263208","AMAZING GRACE CARE CENTRE","","2","0123052299","2026-05-07T15:24:17.005Z","04.09.2025 - 03.09.2030"
"No.12, Jalan Awan Dandan, Taman Yarl, OUG, 58200  WP Kuala Lumpur","","","3.06964","W/PJB WT 007/2021","101.67001","http://maps.google.com/?q=3.06964 ,101.67001","Amazing Grace Care Centre","","2","0123052299","2026-05-07T15:24:17.006Z","07.10.2021 - 06.10.2026"
"MQ8, JALAN TELUK LIKAS   88400 KOTA KINABALU Sabah","","","5.99187271853358","S/PJB WT/03-2025","116.1054671664174","http://maps.google.com/?q=5.99187271853358, 116.1054671664174","ANGLICAN RETIREMENT KAMPONG CARE CENTRE","","2","088389013/0168189013","2026-05-07T15:24:17.006Z","18.11.2025 - 17.11.2030"
"No. 31, Lorong Permata 5,  Taman Metah,  Teluk Intan. 36000  Perak","","","3.9920051","A/PJB WT 032/2021","100.9979785","http://maps.google.com/?q=3.9920051 ,100.9979785","Anson Home Care Centre","","2","012-5926058, 012-5516989, 05-6206989","2026-05-07T15:24:17.006Z","22.06.2021 - 21.06.2026"
"No. 64, Taman Laksamana, Jalan Laksamana,  Teluk Intan,  36000   Perak","","","4.013569","A/PJB WT 025/2022","101.0345317","http://maps.google.com/?q=4.013569 ,101.0345317","Anson Senior Care Centre","Kediaman /","2","05-6218969, 017-2413007","2026-05-07T15:24:17.006Z","13.06.2022 - 12.06.2027"
"No. 31, Lorong Permata 5,  Taman Metah, Teluk Intan  36000  Perak","medifacarehq@gmail.com","","3.991998","A/PJB WT 026/2023","100.9975923","http://maps.google.com/?q=3.991998 ,100.9975923","Anson Senior Care Centre","","2","017-2413007, 019-4008760","2026-05-07T15:24:17.007Z","10.08.2023 - 09.08.2028"
"NO. 5, JALAN LP 4/5, TAMAN LESTARI PERDANA, 43300 SERI KEMBANGAN, SELANGOR    43300  Selangor","","","3.0015448","B/PJB WT 004/2024","101.6642566","http://maps.google.com/?q=3.0015448,	 ,101.6642566","APEX HOME CARE CENTRE","","2","012-4776643","2026-05-07T15:24:17.097Z","01.04.2024 - 31.03.2029"
"NO. 916, LORONG MELOR, KAMPUNG SUNGAI KAYU ARA 47400 PETALING JAYA, SELANGOR   47400  Selangor","","","3.13477","B/PJHWT 001/2022","101.61062","http://maps.google.com/?q=3.13477 ,101.61062","ARA WOODS SENIOR CARE CENTRE","","2","012-2962082","2026-05-07T15:24:17.098Z","05.08.2022 - 04.08.2027"
"NO. 58, JALAN SERINDIT 9, TAMAN ENG ANN, 41150 KLANG, SELANGOR    41150 KLANG Selangor","","","3.0610332","B/PJB WT 020/2024","101.4586377","http://maps.google.com/?q=3.0610332,	101.4586377","AURORA CARING CARE CENTRE","","3","016-3383947","2026-05-07T15:24:20.600Z","04.11.2024 - 03.11.2029"
"NO. 16, LINTANG RAJAWALI, TAMAN BERKELEY, 41150 KLANG, SELANGOR    41150 KLANG Selangor","","","3.0552758","B/PJB WT 006/2025","101.4600957","http://maps.google.com/?q=3.0552758,	101.4600957","AURORA HOME CARE CENTRE (2)","","3","016-6906333","2026-05-07T15:24:20.600Z","11.07.2025 - 10.07.2030"
"NO. 57, JALAN RAYA BARAT, TELUK PULAI, 41100 KLANG, SELANGOR    41100 KLANG Selangor","","","3.0408572","B/PJB WT 007/2026","101.4407328","http://maps.google.com/?q=3.0408572,	101.4407328","AURORA HOME CARE CENTRE (3)","","3","016-3383947","2026-05-07T15:24:20.601Z","14.04.2026 - 13.04.2031"
"NO. 35, JALAN TUN ABDUL RAZAK /KS02, TAMAN SRI ANDALAS 41200 KLANG, SELANGOR    41200  Selangor","","","3.0162054","B/PJB WT 003/2024","101.4429741","http://maps.google.com/?q=3.0162054,	 ,101.4429741","AURORA SENIOR CARE CENTRE","","3","016-3383947","2026-05-07T15:24:20.601Z","09.02.2024 - 08.02.2029"
"NO. 2. 2A & 6, JALAN USJ 2/4C, 47600 SUBANG JAYA, SELANGOR   47600  Selangor","","","3.0610907","B/PJBWT 006/2023","101.5892177","http://maps.google.com/?q=3.0610907	 ,101.5892177","BELINDA ELDERLY CARE CENTRE","","3","011-12302173/012-6069248","2026-05-07T15:24:20.601Z","17.04.2023 - 16.04.2028"
"No. 23, Jalan Beringin 4 Taman Beringin Batu Berendam 75350  Melaka","","","2.2560074","M/PJB WT 005 / 2021","102.2574323","http://maps.google.com/?q=2.2560074 ,102.2574323","Beringin Park Care Centre","","3","012-2501163/06-3172420","2026-05-07T15:24:20.601Z","18.01.2021 - 17.01.2026"
"No. 36, Jalan Beringin 4 Taman Beringin Batu Berendam 75350  Melaka","","","2.2560074","M/PJB WT 006 / 2021","102.2574323","http://maps.google.com/?q=2.2560074 ,102.2574323","Beringin Park Care Centre","","3","012-2501163/06-3174199","2026-05-07T15:24:20.601Z","18.01.2021 - 17.01.2026"
"18 B, Jalan Cempedak, Off Jalan Kovil Hilir,  51100  WP Kuala Lumpur","","","3.17867","W/PJB WT 004/2021","101.68907","http://maps.google.com/?q=3.17867 ,101.68907","BERNIECE CARE CENTRE SERVICE","","3","03-40439507","2026-05-07T15:24:20.602Z","18.05.2021 - 17.05.2026"
"LOT 107 JALAN LUYANG 3 LUYANG PHASE 5 88100 KOTA KINABALU Sabah","","","5.950793057278907","S/PJB WT/004-2024","116.084769528026","http://maps.google.com/?q=5.950793057278907, 116.084769528026","BETHANY HOME","","3","088-241457/088-238968/016-8333627","2026-05-07T15:24:20.602Z","02.12.2024 - 01.12.2029"
"NO. 16, LOT 517, KAMPUNG PADANG LINCAI,  MUKIM KEDAWANG,  07000 LANGKAWI Kedah","","","6.3138728","K/PJB WE021/2025","99.7379422","http://maps.google.com/?q=6.3138728,99.7379422","BIDADARI RETREAT CARE CENTRE","","3","012-4992352","2026-05-07T15:24:20.602Z","25.09.2025 - 24.09.2030"
"NO.7 JALAN DATO' SULAIMAN TAMAN CENTURY 80300 JOHOR BAHRU  80300  Johor","","","2.047926","J/PJB WT 004/2021","103.866019","http://maps.google.com/?q=2.047926 ,103.866019","BIG HEART GOLDEN CARE CENTRE","","4","073383055","2026-05-07T15:24:23.600Z","11.01.2021 - 10.01.2026"
"No. 1030, Lengkok Gunung Rapat, Taman Rapat Setia,  Ipoh,  31350  Perak","","","4.5701787","A/PJB WT 049/2018","101.1208372","http://maps.google.com/?q=4.5701787 ,101.1208372","Blissful Care","","4","012-6942882","2026-05-07T15:24:23.600Z","21.12.2018 - 20.12.2023"
"No. 1030, Lengkok Gunung Rapat,  Taman Rapat Setia, 31350 Ipoh  31350  Perak","myblissfulcare@gmail.com","","4.570184","A/PJB WT 050/2024","101.1208372","http://maps.google.com/?q=4.570184 ,101.1208372","Blissful Care Centre","","4","012-6942882","2026-05-07T15:24:23.600Z","30.08.2024 - 29.08.2029"
"NO. 124, JALAN PAKIS 2, TAMAN FERN GROVE BATU 9, 43200 CHERAS, SELANGOR    43200 CHERAS Selangor","","","3.08262","B/PJB WT 002/2025","101.75803","http://maps.google.com/?q=3.08262	101.75803","BLISSFUL HEART  CARE CENTRE","","4","011-2708046","2026-05-07T15:24:23.600Z","05.02.2025 - 04.02.2030"
"29, JLN 9, TMN DATO AMAR DIRAJA   86000  Johor","","","2.0523965711525043","J/PJBWE 045/2025","103.33746562488328","http://maps.google.com/?q=2.0523965711525043, 103.33746562488328","BLISSFUL SENIOR CARE CENTRE","","4","0197357353","2026-05-07T15:24:23.600Z","25.06.2025 - 24.06.2030"
"1, Jalan Bulan, Westpool Park,  Ipoh,  31400  Perak","","","4.6134705","A/PJB WT 042/2023","101.1015515","http://maps.google.com/?q=4.6134705 ,101.1015515","Bougainvillea Care Centre","","4","010-3964289, 05-5470382","2026-05-07T15:24:23.600Z","27.10.2023 - 26.10.2028"
"No 1, Jalan Bagan 4 Taman Bagan  13400 Butterworth Pulau Pinang","","","5.40934","P/PJH WT 005/2024","100.38543","http://maps.google.com/?q=5.40934 ,100.38543","BSC Eldercare Centre Sdn Bhd","","4","0164471979","2026-05-07T15:24:23.601Z","08.02.2024 - 07.02.2029"
"No. 75, Jalan Dato' Ahmad Yunos,  Sitiawan  32000   Perak","","","4.2169625","A/PJB WT 051/2022","100.693606","http://maps.google.com/?q=4.2169625 ,100.693606","Care Villa Care Centre","","4","012-5103690, 05-6915148","2026-05-07T15:24:23.601Z","09.12.2022 - 08.12.2027"
"R/S 87, LORONG MELOR 5, TAMAN AROSA, JLN HAJI JAIB   80400 MUAR Johor","","","2.0462528903424313","J/PJBWE082/2025","102.58762929303803","http://maps.google.com/?q=2.0462528903424313, 102.58762929303803","CAREFREE CARE CENTRE","","4","012-2319829","2026-05-07T15:24:23.601Z","03.10.2025 - 02.10.2030"
"No. 57 Laluan Tasek Timur 6,  Taman Sri Dermawan, 31400 Ipoh  31400  Perak","","","4.6333524","A/PJB WT 042/2024","101.1140977","http://maps.google.com/?q=4.6333524 ,101.1140977","Caring Heart Home Care Centre","","4","012-5229824","2026-05-07T15:24:23.601Z","08.08.2024 - 07.08.2029"
"No 11  Jalan Batu Gantung Georgetown 10450 Georgetown Pulau Pinang","","","5.41399","P/PJB WT 013/2021","100.30035","http://maps.google.com/?q=5.41399 ,100.30035","Caring Retirement Home Care Centre","","5","0164741153","2026-05-07T15:24:27.404Z","22.02.2021 - 21.02.2026"
"LOT 12713, NO.12A & 12B, Jalan Datuk Haji Harun, Taman Taynton View, 56100  WP Kuala Lumpur","","","3.087410","W/PJB WT 005/2021","101.739439","http://maps.google.com/?q=3.087410 ,101.739439","Centenarian Care Centre","","5","019-2238338 / 012-3223747","2026-05-07T15:24:27.404Z","27.07.2023 - 26.07.2028"
"NO.160, TAMAN BUNGA RAYA,  MANTIN  71700  Seremban Negeri Sembilan","charishome160@gmail.com","","2.82175","N/ PJB WT 14/2023","101.90567","http://maps.google.com/?q=2.82175 ,101.90567","CHARIS HOME CARE CENTRE","","5","010-3662952","2026-05-07T15:24:27.497Z","28.07.2023 - 27.07.2028"
"NO. 162, JALAN PUTRA PERMAI,  TAMAN PUTRA PERMAI 43300 SERI KEMBANGAN, SELANGOR   43300  Selangor","","","2.993877","B/PJBWT 012/2022","101.6693133","http://maps.google.com/?q=2.993877 ,101.6693133","CHERISH CARE CENTRE","","5","013-2073634","2026-05-07T15:24:27.498Z","05.10.2022 - 04.10.2027"
"NO. 95, JALAN PENCHALA, SEKSYEN 4, 46050 PETALING JAYA, SELANGOR    46050 PETALING JAYA Selangor","","","3.0929931","B/PJB WT 004/2026","101.6406547","http://maps.google.com/?q=3.0929931	101.6406547","CHRISTINAS HOME CARE CENTRE","","5","03-77733750/014-6367522","2026-05-07T15:24:27.498Z","03.03.2026 - 02.03.2031"
"NO. 122 JALAN GASING 46000 PETALING JAYA, SELANGOR   46000  Selangor","","","3.105451","B/PJB WT 018/2021","101.654331","http://maps.google.com/?q=3.105451 ,101.654331","CITADEL CARE CENTRE","","5","03-74538996","2026-05-07T15:24:27.498Z","22.11.2021 - 21.11.2026"
"No. 225, Jalan Ledang, Taman Johor, 82100 Tampoi, Johor Bahru, Johor.   82100  Johor","","","1.5174348","J/PJB WT 041/2023","103.6941351","http://maps.google.com/?q=1.5174348 ,103.6941351","CITY HEART CARE CENTRE","","5","07-2348899","2026-05-07T15:24:27.498Z","22.11.2023 - 21.11.2028"
"Hse. No.377, Jalan Likas 1,  Off Jalan Tuaran, Kg. Likas  88400  Sabah","","","5.999236","S/PJBWT/001-2024","116.108811","http://maps.google.com/?q=5.999236 ,116.108811","Comfort Aged Care Centre","","5","0198811030","2026-05-07T15:24:27.498Z","15.04.2024 - 14.04.2029"
"NO 7 & 9, JALAN ROSMERAH 4/1, TAMAN JOHOR JAYA, JOHOR BAHRU   81100  Johor","","","1.5316120485203861","J/PJBWT067/2024","103.79585193837991","http://maps.google.com/?q=1.5316120485203861, 103.79585193837991","COMFORT VILLE CARE CENTRE","","5","0167782447","2026-05-07T15:24:27.499Z","10.12.2024 - 09.12.2029"
"1159 Jalan Gurney,  Kampung Baru Buntong,   30100  Perak","","","4.6053679","A/PJB WT 039/2024","101.0591851","http://maps.google.com/?q=4.6053679 ,101.0591851","Comfortable Home Care Centre","","5","012-5579912, 016-5467063","2026-05-07T15:24:27.499Z","16.07.2024 - 15.07.2029"
"No. 12B, Jalan Manjoi, Taman Pari,  Ipoh,  30100  Perak","","","4.6138232","A/PJB WT 010/2019","101.071448","http://maps.google.com/?q=4.6138232 ,101.071448","Comfortable Home Daycare Centre","","6","012-5299833, 05-5277063","2026-05-07T15:24:30.401Z","25.02.2019 - 24.02.2024"
"NO. 2 & 4, JALAN BUNGA TANJUNG 22, TAMAN SERAYA, 68000 AMPANG, SELANGOR    68000 AMPANG Selangor","","","3.117285","B/PJB WT 0052026","101.763128","http://maps.google.com/?q=3.117285	101.763128","CONVEE ELDERLY CARE CENTRE","","6","01111338518","2026-05-07T15:24:30.401Z","03.03.2026 - 02.03.2031"
"NO 2, JALAN NP 4/10, TAMAN NUSA PERINTIS, ISKANDAR PUTERI   79200  Johor","","","1.454043","J/PJBWT065/2024","103.590184","http://maps.google.com/?q=1.454043, 103.590184","CRYSTALFONT CARE CENTRE","","6","0138238099","2026-05-07T15:24:30.401Z","05.12.2024 - 04.12.2029"
"HSE 6&7, TAMAN HARRINGTON, JALAN KEBAJIKAN,  88300  Sabah","","","5.9636382","S/PJB WT/001-2021","116.0748666","http://maps.google.com/?q=5.9636382 ,116.0748666","CT NURSE CARE CENTRE","","6","088213575","2026-05-07T15:24:30.401Z","29.04.2021 - 28.04.2026"
"NO. 01-00, 01-01, 03-00 & 03-01, JALAN MEDAN ALIFF HARMONI 1/1, TAMAN DAMANSARA ALIFF   81200  Johor","","","1.5081444255216627","J/PJBWT018/2025","103.71425066721478","http://maps.google.com/?q=1.5081444255216627, 103.71425066721478","D ALIFF CARE CENTRE","","6","0167512511","2026-05-07T15:24:30.401Z","22.01.2025 - 21.01.2030"
"No. 18, Jalan Sri Klebang 4, Bandar Baru Sri Klebang,  Chemor,  31200  Perak","","","4.6999497","A/PJB WT 063/2021","101.1159811","http://maps.google.com/?q=4.6999497 ,101.1159811","D Palace Care Centre","","6","016-5554935","2026-05-07T15:24:30.402Z","11.11.2021 - 10.11.2026"
"18, Jalan Sri Klebang 4, Bandar Baru Sri Klebang,  Chemor,  31200  Perak","premalatha103@hotmail.com","","4.6998727","A/PJB WT 031/2023","101.1156941","http://maps.google.com/?q=4.6998727 ,101.1156941","D Palace Care Centre","","6","016-5554935","2026-05-07T15:24:30.402Z","06.09.2023 - 05.09.2028"
"No. 1, Lebuhraya Cavendish,  Taman Mansion, 30250 Ipoh  30250 Ipoh Perak","","","4.5809441","A/PJB WE 014/2025","101.0963786","http://maps.google.com/?q=4.5809441, 101.0963786","De Elderly Care Centre","","6","010-8237933","2026-05-07T15:24:30.402Z","16.04.2025 - 15.04.2030"
"NO. 30, JALAN MERBOK, TAMAN ENG ANN, 41050 KLANG, SELANGOR    41050 KLANG Selangor","","","3.33704","B/PJB WT 012/2025","101.272501","http://maps.google.com/?q=3.33704	101.272501","DE HOME CARE CENTRE","","6","03-33585252","2026-05-07T15:24:30.402Z","14.11.2025 - 13.11.2030"
"No. 167, Jalan Lau Pak Khuan, Ipoh,   31400  Perak","","","4.6113041","A/PJB WT 022/2020","101.1127586","http://maps.google.com/?q=4.6113041 ,101.1127586","De Home Care Centre","","6","016-5900291","2026-05-07T15:24:30.402Z","29.12.2020 - 28.12.2025"
"NO. 3 JALAN SS 1/1, KAMPUNG TUNKU, 47300 PETALING JAYA, SELANGOR    47300  Selangor","","","3.093403","B/PJBWT 014/2022","101.620586","http://maps.google.com/?q=3.093403 ,101.620586","DE LUXE RETIREMENT HOME CARE CENTRE (2)","","7","012-2913336/012-3240316","2026-05-07T15:24:33.009Z","04.11.2022 - 03.11.2027"
"NO. 37 JALAN SS 1/2, KAMPUNG TUNKU, 47300 PETALING JAYA, SELANGOR    47300  Selangor","","","3.09249","B/PJBWT 015/2022","101.61593","http://maps.google.com/?q=3.09249 ,101.61593","DE LUXE RETIREMENT HOME CARE CENTRE (3)","","7","012-2913336/012-3240316","2026-05-07T15:24:33.009Z","04.11.2022 - 03.11.2027"
"NO. 33 JALAN SS 3/39, TAMAN UNIVERSITI, 47300 PETALING JAYA, SELANGOR    47300  Selangor","","","3.09624","B/PJBWT 016/2022","101.61511","http://maps.google.com/?q=3.09624 ,101.61511","DE LUXE RETIREMENT HOME CARE CENTRE (4)","","7","012-2913336/012-3240316","2026-05-07T15:24:33.010Z","04.11.2022 - 03.11.2027"
"24, Jalan Labrooy, Taman Pari,  Ipoh,  30100  Perak","","","4.6134146","A/PJB WT 045/2021","101.0739038","http://maps.google.com/?q=4.6134146 ,101.0739038","Dr. Thomas Care Centre","","7","012-5819551","2026-05-07T15:24:33.010Z","04.08.2021 - 03.08.2026"
"31, Jalan Siakap 23A, Taman Permatang Pasir Perdana,    	 Melaka  75460   Melaka","","","2.177643","M/PJB WE  024 / 2023","102.2859789","http://maps.google.com/?q=2.177643 ,102.2859789","Edelweiss Elderly Care Centre","","7","0","2026-05-07T15:24:33.010Z","02.08.2023 - 01.08.2028"
"Lot 4989, Block 26                                    Muara Tuang Land District Kuching   94300  Sarawak","care@eden-on-the-park.com.my","082-505015","110.418367","Q/PJB WT/008/2020","1.473350","http://maps.google.com/?q=110.418367 ,1.473350","Eden on The Park Care Residence","","7","082-505015","2026-05-07T15:24:33.010Z","21.12.2020 - 20.12.2025"
"No. 3, Jalan Sheikh Kadir Ahmad, Taman Dato' Amar Diraja, 86000 Kluang, Johor.   86000  Johor","","","2.0482415","J/PJB WT 045/2023","103.3381202","http://maps.google.com/?q=2.0482415 ,103.3381202","EHA ELDERCARE","","7","019-7133697","2026-05-07T15:24:33.010Z","22.11.2023 - 21.11.2028"
"No 19 Lorong Cendana 27, Taman Cendana Simpang Ampat  14100 Bukit Mertajam Pulau Pinang","","","5.313499","P/PJB WT 038/2021","100.42731","http://maps.google.com/?q=5.313499 ,100.42731","Elaine Elderly Healthcare Centre","","7","0164388964","2026-05-07T15:24:33.010Z","05.10.2021 - 04.10.2026"
"16 & 18 Jalan Seri Aman 5 Pusat Perniagaan Sri Aman Sungai Bakap 14200 Simpang Ampat Pulau Pinang","","","6.235558","P/PJB WT 016/2025","100.491644","http://maps.google.com/?q=6.235558, 100.491644","Elaine Elderly Healthcare Centre","","7","0164388964","2026-05-07T15:24:33.011Z","14.07.2025 - 13.07.2030"
"No 17, Lorong Cendana 27, Taman Cendana Simpang Ampat  14100 Bukit Mertajam Pulau Pinang","","","5.31561","P/PJB WT 027/2022","100.42678","http://maps.google.com/?q=5.31561 ,100.42678","Elaine Elderly Healthcare Centre","","7","0164388964","2026-05-07T15:24:33.011Z","29.08.2022 - 28.08.2027"
"LOT 11, JALAN BUDIMAN, BUDIMAN BUSINESS PARK, BANDAR SUNGAI LONG, 43000 KAJANG, SELANGOR    43000 KAJANG Selangor","","","3.0666","B/PJB WT 014/2025","101.7739464","http://maps.google.com/?q=3.0666	101.7739464","ELDERLOVE CARE CENTRE","","8","012-3495811","2026-05-07T15:24:35.440Z","24.11.2025 - 23.11.2030"
"NO. 16G & 18G, JALAN DIRHAM U3/6, PUSAT PERNIAGAAN SUBANG, SEKSYEN U3, 40150 SHAH ALAM, SELANGOR   40150  Selangor","","","3.1532","B/PJBWT 005/2022","101.54918","http://maps.google.com/?q=3.1532 ,101.54918","ELDERLOVE LIVING CARE CENTRE","","8","012-3495811","2026-05-07T15:24:35.440Z","12.04.2022 - 11.04.2027"
"5219, Taman Muhibbah, Klebang Besar   75200  Melaka","","","2.2213815","M/PJB WT 006 / 2019","102.1886272","http://maps.google.com/?q=2.2213815 ,102.1886272","Elders Home Care Centre","","8","012-2908103","2026-05-07T15:24:35.440Z","05.11.2019 - 04.11.2024"
"No.1 & No.1-1, Jalan PB 1B Taman Puncak Bertam Melaka 75260  Melaka","eldershomecc@gamil.com","","2.2529274","M/PJB WT 001 / 2022","102.2197153","http://maps.google.com/?q=2.2529274 ,102.2197153","Elders Home Plus Care Centre Sdn. Bhd.","","8","012-2908103","2026-05-07T15:24:35.440Z","04.01.2022 - 03.01.2027"
"NO. 28, KM 2 1/2, JALAN BATU ARANG, KAMPUNG SUNGAI DUA TAMBAHAN, 48000 RAWANG, SELANGOR    48000 RAWANG Selangor","","","3.313027","B/PJB WT 004/2025","101.561801","http://maps.google.com/?q=3.313027	101.561801","EMERALD ELDERLY CARE CENTRE","","8","012-3030670","2026-05-07T15:24:35.441Z","22.04.2025 - 21.04.2030"
"NO. 23 JALAN PANTAI 9/7  SEKSYEN 9,  PETALING JAYA  46050  Selangor","","","3.102227","B/PJB  WT 007/2020","101.651336","http://maps.google.com/?q=3.102227 ,101.651336","EVAGAYLE CARE CENTRE","","8","79324666","2026-05-07T15:24:35.497Z","05.06.2020 - 04.06.2025"
"107, Jalan Kompleks Sukan,  Ipoh,  31400  Perak","evergreen107@icloud.com","","4.6142758","A/PJB WT 047/2022","101.1030644","http://maps.google.com/?q=4.6142758 ,101.1030644","Evergreen Care Centre","","8","016-5262817, 05-5462817","2026-05-07T15:24:35.498Z","23.11.2022 - 22.11.2027"
"LOT PTD 4648A, NO 6 JALAN BANJARAN 10/5 KEMPAS BARU, 81200 JOHOR BAHRU, JOHOR   81200 JOHOR BAHRU Johor","","","1.530239","J/PJBWE002/26","103.702412","http://maps.google.com/?q=1.530239, 103.702412","EVERGREEN ELDERLY CARE CENTRE","","8","0143384549","2026-05-07T15:24:35.498Z","26.01.2026 - 31.12.2030"
"NO. 39, JALAN SL 7/20, BANDAR SUNGAI LONG 43000 KAJANG, SELANGOR   43000  Selangor","","","3.0517742","B/PJBWT 010/2023","101.7971774","http://maps.google.com/?q=3.0517742,	 ,101.7971774","EVERGREEN SENIOR LIVING CARE CENTRE","","8","012-3311121","2026-05-07T15:24:35.498Z","06.06.2023 - 05.06.2028"
"No.1, Lorong Eliathamby 3,  Taman Eliathamby,   34000 Taiping Perak","lyteoh1228@gmail.com","","4.8456612","A/PJB WE 012/2026","100.7456947","http://maps.google.com/?q=4.8456612, 100.7456947","Everlasting Senior Care Centre","","8","019-5906968","2026-05-07T15:24:35.498Z","17.03.2026 - 16.03.2031"
"NO. 59, JALAN TEMPLER, SEKSYEN 6, 46000 PETALING JAYA, SELANGOR    46000  Selangor","","","3.0931074","B/PJB WT 009/2024","101.6485994","http://maps.google.com/?q=3.0931074	 ,101.6485994","EVERSHINE ELDERLY HOME CARE CENTRE","","9","03-77815433","2026-05-07T15:24:38.147Z","08.05.2024 - 07.05.2029"
"No. 107, Jalan Kasturi, Taman Tan Leng Ann  85000  Johor","","","2.4953206","J/PJB WT 045/2021","102.8373285","http://maps.google.com/?q=2.4953206 ,102.8373285","EXODUS SHELTER CARE CENTRE","","9","019-7766381","2026-05-07T15:24:38.147Z","10.10.2021 - 09.10.2026"
"No. 228, Lorong Cengal Dua Taman Seri Setia, 36000 Teluk Intan 36000  Perak","","","4.0003496","A/PJB WT 066/2024","101.015489","http://maps.google.com/?q=4.0003496 ,101.015489","Faith Care Centre","","9","013-5136755","2026-05-07T15:24:38.147Z","17.12.2024 - 16.12.2029"
