title,slug,url,area,phone,website,pricing_display,shared_price,private_price,care_types,services,religion,languages,subsidy,wheelchair,rating,review_count,latitude,longitude,google_maps_url,last_updated,halal,ownership_type,licence_number,whatsapp,facebook,care_nursing,care_dementia,care_palliative,care_rehab,care_respite,care_assisted,rn_24_7,doctor_visits,nurse_ratio_day,nurse_ratio_night,medical_physio,medical_ot,medical_wound,medical_peg,medical_dementia_unit,medical_dialysis,medical_oxygen,medical_meds,total_beds,availability,four_bed_price,dorm_price,visiting_hours,parking,editorial_summary,hero_image,photos,photo_count,state,status,care_category,service_type,license_category,license_number,license_verification_date,license_expiry,license_expiry_warning,acuity_level,nurse_in_charge,doctor_visit_frequency,pricing_model,hidden_costs,sg_transfer_ready,verification_tier,last_verified_on,verified_by,evidence_ref,outreach_status,outreach_last_attempt,outreach_notes,tier_2_review_pending,deactivation_reason,remarks,screened_date,screened_by
ALOHA HOME CARE CENTRE,aloha-home-care-centre,,,+60378650805,,,,,Elderly Care,,,,,,,,3.10920079,101.6178338,http://maps.google.com/?q=3.10920079	101.6178338,2026-05-07,,,B/PJB WT 009/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Alor Akar Care Centre,alor-akar-care-centre,,,+60199868879,,,,,Elderly Care,,,,,,,,3.8267301389417674,103.34151183141013,"http://maps.google.com/?q=3.8267301389417674 ,103.34151183141013",2026-05-07,,,C/PJB WE 001/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pahang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ANGLICAN RETIREMENT KAMPONG CARE CENTRE,anglican-retirement-kampong-care-centre,,,+6088389013,,,,,Elderly Care,,,,,,,,5.99187271853358,116.1054671664174,"http://maps.google.com/?q=5.99187271853358, 116.1054671664174",2026-05-07,,,S/PJB WT/03-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Anson Home Care Centre,anson-home-care-centre,,,+60125926058,,,,,Elderly Care,,,,,,,,3.9920051,100.9979785,"http://maps.google.com/?q=3.9920051 ,100.9979785",2026-05-07,,,A/PJB WT 032/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Anson Senior Care Centre,anson-senior-care-centre,,,+6056218969,,,,,Elderly Care,,,,,,,,4.013569,101.0345317,"http://maps.google.com/?q=4.013569 ,101.0345317",2026-05-07,,,A/PJB WT 025/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Anson Senior Care Centre,anson-senior-care-centre,,,+60172413007,,,,,Elderly Care,,,,,,,,3.991998,100.9975923,"http://maps.google.com/?q=3.991998 ,100.9975923",2026-05-07,,,A/PJB WT 026/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
APEX HOME CARE CENTRE,apex-home-care-centre,,,+60124776643,,,,,Elderly Care,,,,,,,,3.0015448,101.6642566,"http://maps.google.com/?q=3.0015448,	 ,101.6642566",2026-05-07,,,B/PJB WT 004/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ARA WOODS SENIOR CARE CENTRE,ara-woods-senior-care-centre,,,+60122962082,,,,,Elderly Care,,,,,,,,3.13477,101.61062,"http://maps.google.com/?q=3.13477 ,101.61062",2026-05-07,,,B/PJHWT 001/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
AURORA CARING CARE CENTRE,aurora-caring-care-centre,,,+60163383947,,,,,Elderly Care,,,,,,,,3.0610332,101.4586377,"http://maps.google.com/?q=3.0610332,	101.4586377",2026-05-07,,,B/PJB WT 020/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
AURORA HOME CARE CENTRE (3),aurora-home-care-centre-3,,,+60163383947,,,,,Elderly Care,,,,,,,,3.0408572,101.4407328,"http://maps.google.com/?q=3.0408572,	101.4407328",2026-05-07,,,B/PJB WT 007/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
BELINDA ELDERLY CARE CENTRE,belinda-elderly-care-centre,,,+601112302173,,,,,Elderly Care,,,,,,,,3.0610907,101.5892177,"http://maps.google.com/?q=3.0610907	 ,101.5892177",2026-05-07,,,B/PJBWT 006/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Beringin Park Care Centre,beringin-park-care-centre,,,+60122501163,,,,,Elderly Care,,,,,,,,2.2560074,102.2574323,"http://maps.google.com/?q=2.2560074 ,102.2574323",2026-05-07,,,M/PJB WT 005 / 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Beringin Park Care Centre,beringin-park-care-centre,,,+60122501163,,,,,Elderly Care,,,,,,,,2.2560074,102.2574323,"http://maps.google.com/?q=2.2560074 ,102.2574323",2026-05-07,,,M/PJB WT 006 / 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
BETHANY HOME,bethany-home,,,+6088241457,,,,,Elderly Care,,,,,,,,5.950793057278907,116.084769528026,"http://maps.google.com/?q=5.950793057278907, 116.084769528026",2026-05-07,,,S/PJB WT/004-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
BIDADARI RETREAT CARE CENTRE,bidadari-retreat-care-centre,,,+60124992352,,,,,Elderly Care,,,,,,,,6.3138728,99.7379422,"http://maps.google.com/?q=6.3138728,99.7379422",2026-05-07,,,K/PJB WE021/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kedah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
BIG HEART GOLDEN CARE CENTRE,big-heart-golden-care-centre,,,+6073383055,,,,,Elderly Care,,,,,,,,2.047926,103.866019,"http://maps.google.com/?q=2.047926 ,103.866019",2026-05-07,,,J/PJB WT 004/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
BLISSFUL HEART  CARE CENTRE,blissful-heart-care-centre,,,+60112708046,,,,,Elderly Care,,,,,,,,3.08262,101.75803,http://maps.google.com/?q=3.08262	101.75803,2026-05-07,,,B/PJB WT 002/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Bougainvillea Care Centre,bougainvillea-care-centre,,,+60103964289,,,,,Elderly Care,,,,,,,,4.6134705,101.1015515,"http://maps.google.com/?q=4.6134705 ,101.1015515",2026-05-07,,,A/PJB WT 042/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
BSC Eldercare Centre Sdn Bhd,bsc-eldercare-centre-sdn-bhd,,,+60164471979,,,,,Elderly Care,,,,,,,,5.40934,100.38543,"http://maps.google.com/?q=5.40934 ,100.38543",2026-05-07,,,P/PJH WT 005/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Care Villa Care Centre,care-villa-care-centre,,,+60125103690,,,,,Elderly Care,,,,,,,,4.2169625,100.693606,"http://maps.google.com/?q=4.2169625 ,100.693606",2026-05-07,,,A/PJB WT 051/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
CAREFREE CARE CENTRE,carefree-care-centre,,,+60122319829,,,,,Elderly Care,,,,,,,,2.0462528903424313,102.58762929303803,"http://maps.google.com/?q=2.0462528903424313, 102.58762929303803",2026-05-07,,,J/PJBWE082/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Caring Heart Home Care Centre,caring-heart-home-care-centre,,,+60125229824,,,,,Elderly Care,,,,,,,,4.6333524,101.1140977,"http://maps.google.com/?q=4.6333524 ,101.1140977",2026-05-07,,,A/PJB WT 042/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Centenarian Care Centre,centenarian-care-centre,,,+60192238338,,,,,Elderly Care,,,,,,,,3.087410,101.739439,"http://maps.google.com/?q=3.087410 ,101.739439",2026-05-07,,,W/PJB WT 005/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
CHARIS HOME CARE CENTRE,charis-home-care-centre,,,+60103662952,,,,,Elderly Care,,,,,,,,2.82175,101.90567,"http://maps.google.com/?q=2.82175 ,101.90567",2026-05-07,,,N/ PJB WT 14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
CHERISH CARE CENTRE,cherish-care-centre,,,+60132073634,,,,,Elderly Care,,,,,,,,2.993877,101.6693133,"http://maps.google.com/?q=2.993877 ,101.6693133",2026-05-07,,,B/PJBWT 012/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
CHRISTINAS HOME CARE CENTRE,christinas-home-care-centre,,,+60377733750,,,,,Elderly Care,,,,,,,,3.0929931,101.6406547,http://maps.google.com/?q=3.0929931	101.6406547,2026-05-07,,,B/PJB WT 004/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
CITADEL CARE CENTRE,citadel-care-centre,,,+60374538996,,,,,Elderly Care,,,,,,,,3.105451,101.654331,"http://maps.google.com/?q=3.105451 ,101.654331",2026-05-07,,,B/PJB WT 018/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Aged Care Centre,comfort-aged-care-centre,,,+60198811030,,,,,Elderly Care,,,,,,,,5.999236,116.108811,"http://maps.google.com/?q=5.999236 ,116.108811",2026-05-07,,,S/PJBWT/001-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
COMFORT VILLE CARE CENTRE,comfort-ville-care-centre,,,+60167782447,,,,,Elderly Care,,,,,,,,1.5316120485203861,103.79585193837991,"http://maps.google.com/?q=1.5316120485203861, 103.79585193837991",2026-05-07,,,J/PJBWT067/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Comfortable Home Care Centre,comfortable-home-care-centre,,,+60125579912,,,,,Elderly Care,,,,,,,,4.6053679,101.0591851,"http://maps.google.com/?q=4.6053679 ,101.0591851",2026-05-07,,,A/PJB WT 039/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Comfortable Home Daycare Centre,comfortable-home-daycare-centre,,,+60125299833,,,,,Elderly Care,,,,,,,,4.6138232,101.071448,"http://maps.google.com/?q=4.6138232 ,101.071448",2026-05-07,,,A/PJB WT 010/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
CRYSTALFONT CARE CENTRE,crystalfont-care-centre,,,+60138238099,,,,,Elderly Care,,,,,,,,1.454043,103.590184,"http://maps.google.com/?q=1.454043, 103.590184",2026-05-07,,,J/PJBWT065/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
CT NURSE CARE CENTRE,ct-nurse-care-centre,,,+6088213575,,,,,Elderly Care,,,,,,,,5.9636382,116.0748666,"http://maps.google.com/?q=5.9636382 ,116.0748666",2026-05-07,,,S/PJB WT/001-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabah,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
D ALIFF CARE CENTRE,d-aliff-care-centre,,,+60167512511,,,,,Elderly Care,,,,,,,,1.5081444255216627,103.71425066721478,"http://maps.google.com/?q=1.5081444255216627, 103.71425066721478",2026-05-07,,,J/PJBWT018/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
D Palace Care Centre,d-palace-care-centre,,,+60165554935,,,,,Elderly Care,,,,,,,,4.6999497,101.1159811,"http://maps.google.com/?q=4.6999497 ,101.1159811",2026-05-07,,,A/PJB WT 063/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
D Palace Care Centre,d-palace-care-centre,,,+60165554935,,,,,Elderly Care,,,,,,,,4.6998727,101.1156941,"http://maps.google.com/?q=4.6998727 ,101.1156941",2026-05-07,,,A/PJB WT 031/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
De Elderly Care Centre,de-elderly-care-centre,,,+60108237933,,,,,Elderly Care,,,,,,,,4.5809441,101.0963786,"http://maps.google.com/?q=4.5809441, 101.0963786",2026-05-07,,,A/PJB WE 014/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
DE HOME CARE CENTRE,de-home-care-centre,,,+60333585252,,,,,Elderly Care,,,,,,,,3.33704,101.272501,http://maps.google.com/?q=3.33704	101.272501,2026-05-07,,,B/PJB WT 012/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
De Home Care Centre,de-home-care-centre,,,+60165900291,,,,,Elderly Care,,,,,,,,4.6113041,101.1127586,"http://maps.google.com/?q=4.6113041 ,101.1127586",2026-05-07,,,A/PJB WT 022/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Thomas Care Centre,dr-thomas-care-centre,,,+60125819551,,,,,Elderly Care,,,,,,,,4.6134146,101.0739038,"http://maps.google.com/?q=4.6134146 ,101.0739038",2026-05-07,,,A/PJB WT 045/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Edelweiss Elderly Care Centre,edelweiss-elderly-care-centre,,,+60,,,,,Elderly Care,,,,,,,,2.177643,102.2859789,"http://maps.google.com/?q=2.177643 ,102.2859789",2026-05-07,,,M/PJB WE  024 / 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Eden on The Park Care Residence,eden-on-the-park-care-residence,,,+6082505015,,,,,Elderly Care,,,,,,,,110.418367,1.473350,"http://maps.google.com/?q=110.418367 ,1.473350",2026-05-07,,,Q/PJB WT/008/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarawak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Elaine Elderly Healthcare Centre,elaine-elderly-healthcare-centre,,,+60164388964,,,,,Elderly Care,,,,,,,,5.313499,100.42731,"http://maps.google.com/?q=5.313499 ,100.42731",2026-05-07,,,P/PJB WT 038/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Elaine Elderly Healthcare Centre,elaine-elderly-healthcare-centre,,,+60164388964,,,,,Elderly Care,,,,,,,,6.235558,100.491644,"http://maps.google.com/?q=6.235558, 100.491644",2026-05-07,,,P/PJB WT 016/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Elaine Elderly Healthcare Centre,elaine-elderly-healthcare-centre,,,+60164388964,,,,,Elderly Care,,,,,,,,5.31561,100.42678,"http://maps.google.com/?q=5.31561 ,100.42678",2026-05-07,,,P/PJB WT 027/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penang,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ELDERLOVE CARE CENTRE,elderlove-care-centre,,,+60123495811,,,,,Elderly Care,,,,,,,,3.0666,101.7739464,http://maps.google.com/?q=3.0666	101.7739464,2026-05-07,,,B/PJB WT 014/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ELDERLOVE LIVING CARE CENTRE,elderlove-living-care-centre,,,+60123495811,,,,,Elderly Care,,,,,,,,3.1532,101.54918,"http://maps.google.com/?q=3.1532 ,101.54918",2026-05-07,,,B/PJBWT 005/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Elders Home Care Centre,elders-home-care-centre,,,+60122908103,,,,,Elderly Care,,,,,,,,2.2213815,102.1886272,"http://maps.google.com/?q=2.2213815 ,102.1886272",2026-05-07,,,M/PJB WT 006 / 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Elders Home Plus Care Centre Sdn. Bhd.,elders-home-plus-care-centre-sdn-bhd,,,+60122908103,,,,,Elderly Care,,,,,,,,2.2529274,102.2197153,"http://maps.google.com/?q=2.2529274 ,102.2197153",2026-05-07,,,M/PJB WT 001 / 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
EMERALD ELDERLY CARE CENTRE,emerald-elderly-care-centre,,,+60123030670,,,,,Elderly Care,,,,,,,,3.313027,101.561801,http://maps.google.com/?q=3.313027	101.561801,2026-05-07,,,B/PJB WT 004/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Care Centre,evergreen-care-centre,,,+60165262817,,,,,Elderly Care,,,,,,,,4.6142758,101.1030644,"http://maps.google.com/?q=4.6142758 ,101.1030644",2026-05-07,,,A/PJB WT 047/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
EVERGREEN SENIOR LIVING CARE CENTRE,evergreen-senior-living-care-centre,,,+60123311121,,,,,Elderly Care,,,,,,,,3.0517742,101.7971774,"http://maps.google.com/?q=3.0517742,	 ,101.7971774",2026-05-07,,,B/PJBWT 010/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Everlasting Senior Care Centre,everlasting-senior-care-centre,,,+60195906968,,,,,Elderly Care,,,,,,,,4.8456612,100.7456947,"http://maps.google.com/?q=4.8456612, 100.7456947",2026-05-07,,,A/PJB WE 012/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
EVERSHINE ELDERLY HOME CARE CENTRE,evershine-elderly-home-care-centre,,,+60377815433,,,,,Elderly Care,,,,,,,,3.0931074,101.6485994,"http://maps.google.com/?q=3.0931074	 ,101.6485994",2026-05-07,,,B/PJB WT 009/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
EXODUS SHELTER CARE CENTRE,exodus-shelter-care-centre,,,+60197766381,,,,,Elderly Care,,,,,,,,2.4953206,102.8373285,"http://maps.google.com/?q=2.4953206 ,102.8373285",2026-05-07,,,J/PJB WT 045/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Faith Care Centre,faith-care-centre,,,+60135136755,,,,,Elderly Care,,,,,,,,4.0003496,101.015489,"http://maps.google.com/?q=4.0003496 ,101.015489",2026-05-07,,,A/PJB WT 066/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
FAMILIES  CARE CENTRE,families-care-centre,,,+601110973931,,,,,Elderly Care,,,,,,,,3.1431855,101.3746641,"http://maps.google.com/?q=3.1431855,	101.3746641",2026-05-07,,,B/PJB WT 010/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
FAVOURITE HOME CARE CENTRE,favourite-home-care-centre,,,+60162080671,,,,,Elderly Care,,,,,,,,3.0881099,101.7594255,"http://maps.google.com/?q=3.0881099,	 ,101.7594255",2026-05-07,,,B/PJB WT 016/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GABRIEL ELDERCARE CENTRE,gabriel-eldercare-centre,,,+60182687757,,,,,Elderly Care,,,,,,,,2.0127153888173135,103.27450705423347,"http://maps.google.com/?q=2.0127153888173135, 103.27450705423347",2026-05-07,,,J/PJHWE062/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Global Village Care Centre,global-village-care-centre,,,+60125236257,,,,,Elderly Care,,,,,,,,4.8575716,100.7193908,"http://maps.google.com/?q=4.8575716 ,100.7193908",2026-05-07,,,A/PJB WT 070/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
GM CARE CENTRE,gm-care-centre,,,+6077743788,,,,,Elderly Care,,,,,,,,1.9991972,103.3218909,"http://maps.google.com/?q=1.9991972 ,103.3218909",2026-05-07,,,J/PJB WT 013/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Age Care Centre Sdn. Bhd,golden-age-care-centre-sdn-bhd,,,+6069533355,,,,,Elderly Care,,,,,,,,1.847091,102.956867,"http://maps.google.com/?q=1.847091 ,102.956867",2026-05-07,,,J/PJB WT 030/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Apple Care Centre,golden-apple-care-centre,,,+601126282313,,,,,Elderly Care,,,,,,,,4.4868506,101.0119916,"http://maps.google.com/?q=4.4868506 ,101.0119916",2026-05-07,,,A/PJB WT 030/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
